length,gc_content,blast_score,bit_score
1638,0.3485958485958486,1536.0,2837.57
1643,0.3286670724284845,1545.0,2854.19
1639,0.2843197071384991,1527.0,2820.95
1639,0.27760829774252593,1527.0,2820.95
1632,0.27450980392156865,1513.0,2795.1
1631,0.2832618025751073,1527.0,2820.95
1653,0.279491833030853,1548.0,2859.73
1629,0.3063228974831185,1527.0,2820.95
1641,0.2845825716026813,1548.0,2859.73
1637,0.3414783139890043,1527.0,2820.95
1628,0.3108108108108108,1527.0,2820.95
1644,0.32116788321167883,1530.0,2826.49
1629,0.3689379987722529,1533.0,2832.03
1637,0.3304825901038485,1533.0,2832.03
1630,0.3276073619631902,1533.0,2832.03
1637,0.32254123396456935,1533.0,2832.03
1635,0.32782874617737,1533.0,2832.03
1636,0.30440097799511,1533.0,2832.03
1632,0.32230392156862747,1533.0,2832.03
1653,0.3139745916515426,1533.0,2832.03
1649,0.312310491206792,1533.0,2832.03
1637,0.34392180818570556,1533.0,2832.03
1649,0.34627046694966646,1533.0,2832.03
1631,0.3034947884733292,1533.0,2832.03
1629,0.34868017188459177,1533.0,2832.03
1640,0.32865853658536587,1533.0,2832.03
1638,0.36568986568986567,1533.0,2832.03
1625,0.30030769230769233,1533.0,2832.03
1639,0.31299572910311163,1533.0,2832.03
1631,0.31453096259963215,1533.0,2832.03
1642,0.3160779537149817,1533.0,2832.03
1629,0.283609576427256,1533.0,2832.03
1630,0.28343558282208586,1533.0,2832.03
1650,0.2896969696969697,1533.0,2832.03
1650,0.3290909090909091,1533.0,2832.03
1647,0.3145112325440194,1533.0,2832.03
1660,0.28072289156626506,1533.0,2832.03
1631,0.2893930104230533,1533.0,2832.03
1632,0.28799019607843135,1533.0,2832.03
1643,0.2945830797321972,1533.0,2832.03
1635,0.29724770642201837,1533.0,2832.03
1633,0.288426209430496,1533.0,2832.03
1631,0.2832618025751073,1533.0,2832.03
1634,0.29865361077111385,1533.0,2832.03
1639,0.3062843197071385,1533.0,2832.03
1627,0.29440688383527963,1533.0,2832.03
1630,0.3104294478527607,1533.0,2832.03
1650,0.2884848484848485,1533.0,2832.03
1639,0.26784624771201954,1533.0,2832.03
1647,0.3333333333333333,1550.0,2863.43
1638,0.36507936507936506,1535.0,2835.73
1624,0.3805418719211823,1533.0,2832.03
1638,0.39316239316239315,1534.0,2833.88
1655,0.39274924471299094,1540.0,2844.96
1632,0.3952205882352941,1540.0,2844.96
1632,0.39338235294117646,1540.0,2844.96
1645,0.31063829787234043,1534.0,2833.88
1640,0.27987804878048783,1537.0,2839.42
1625,0.3569230769230769,1533.0,2832.03
1682,0.2794292508917955,1578.0,2915.13
1633,0.3368034292712799,1536.0,2837.57
1626,0.36039360393603936,1534.0,2833.88
1643,0.37370663420572126,1534.0,2833.88
1651,0.33979406420351305,1534.0,2833.88
1640,0.35792682926829267,1534.0,2833.88
1638,0.33943833943833945,1531.0,2828.34
1631,0.3261802575107296,1534.0,2833.88
1631,0.3641937461679951,1537.0,2839.42
1632,0.40625,1538.0,2841.27
1638,0.3601953601953602,1534.0,2833.88
1647,0.35458409228901033,1536.0,2837.57
1652,0.36743341404358354,1537.0,2839.42
1634,0.3384332925336597,1537.0,2839.42
1643,0.3377967133292757,1542.0,2848.65
1637,0.3573610262675626,1536.0,2837.57
1651,0.32041187159297396,1550.0,2863.43
1632,0.35723039215686275,1536.0,2837.57
1643,0.35605599513085817,1539.0,2843.11
1632,0.35171568627450983,1530.0,2826.49
1629,0.3787599754450583,1534.0,2833.88
1638,0.37545787545787546,1543.0,2850.5
1633,0.37783221065523576,1537.0,2839.42
1637,0.36163714111178985,1539.0,2843.11
1644,0.340632603406326,1539.0,2843.11
1637,0.3488087965791081,1534.0,2833.88
1636,0.3429095354523227,1534.0,2833.88
1654,0.3518742442563482,1542.0,2848.65
1628,0.3501228501228501,1534.0,2833.88
1633,0.3441518677281078,1537.0,2839.42
1651,0.3040581465778316,1536.0,2837.57
1652,0.33595641646489105,1535.0,2835.73
1633,0.2994488671157379,1536.0,2837.57
1632,0.3639705882352941,1534.0,2833.88
1643,0.31284236153377964,1539.0,2843.11
1644,0.3570559610705596,1534.0,2833.88
1637,0.3341478313989004,1540.0,2844.96
1632,0.3131127450980392,1534.0,2833.88
1636,0.33496332518337407,1534.0,2833.88
1654,0.3561064087061669,1532.0,2830.19
1633,0.35027556644213104,1534.0,2833.88
1638,0.3766788766788767,1537.0,2839.42
1635,0.29174311926605506,1536.0,2837.57
1634,0.2937576499388005,1534.0,2833.88
1629,0.3014119091467158,1537.0,2839.42
1628,0.22235872235872237,1531.0,2828.34
1633,0.2878138395590937,1537.0,2839.42
1647,0.2938676381299332,1537.0,2839.42
1639,0.28004881025015255,1537.0,2839.42
1633,0.2657685241886099,1531.0,2828.34
1625,0.2572307692307692,1531.0,2828.34
1625,0.25784615384615384,1531.0,2828.34
1633,0.256582976117575,1531.0,2828.34
1632,0.25735294117647056,1531.0,2828.34
1643,0.2702373706634206,1528.0,2822.8
1698,0.3292108362779741,1605.0,2964.99
1672,0.38217703349282295,1554.0,2870.81
1652,0.44128329297820823,1553.0,2868.97
1669,0.43199520671060515,1553.0,2868.97
1651,0.3482737734706239,1554.0,2870.81
1656,0.39794685990338163,1554.0,2870.81
1661,0.40758579169175196,1554.0,2870.81
1668,0.4118705035971223,1554.0,2870.81
1662,0.4157641395908544,1554.0,2870.81
1664,0.40865384615384615,1554.0,2870.81
1668,0.41007194244604317,1554.0,2870.81
1656,0.3997584541062802,1554.0,2870.81
1651,0.3961235614778922,1554.0,2870.81
1658,0.41737032569360677,1554.0,2870.81
1649,0.4050939963614312,1554.0,2870.81
1648,0.36225728155339804,1548.0,2859.73
1674,0.38530465949820786,1575.0,2909.59
1675,0.25492537313432834,1563.0,2887.43
1647,0.3424408014571949,1548.0,2859.73
1645,0.32948328267477206,1550.0,2863.43
1651,0.37976983646274987,1554.0,2870.81
1649,0.40812613705275924,1554.0,2870.81
1651,0.36220472440944884,1551.0,2865.27
1653,0.3641863278886872,1554.0,2870.81
1654,0.3688029020556227,1557.0,2876.35
1656,0.37016908212560384,1557.0,2876.35
1658,0.37273823884197826,1554.0,2870.81
1649,0.3784111582777441,1554.0,2870.81
1660,0.36325301204819277,1554.0,2870.81
1650,0.3715151515151515,1554.0,2870.81
1655,0.3776435045317221,1554.0,2870.81
1663,0.34155141310883946,1560.0,2881.89
1660,0.33433734939759036,1560.0,2881.89
1659,0.38396624472573837,1560.0,2881.89
1655,0.3957703927492447,1560.0,2881.89
1663,0.4107035478051714,1560.0,2881.89
1660,0.3493975903614458,1557.0,2876.35
1661,0.35821794099939797,1557.0,2876.35
1658,0.36248492159227985,1557.0,2876.35
1653,0.352692075015124,1557.0,2876.35
1660,0.3493975903614458,1557.0,2876.35
1669,0.35710005991611743,1555.0,2872.66
1656,0.3719806763285024,1554.0,2870.81
1680,0.3678571428571429,1554.0,2870.81
1653,0.3660012099213551,1557.0,2876.35
1655,0.3806646525679758,1557.0,2876.35
1658,0.3673100120627262,1557.0,2876.35
1658,0.376357056694813,1557.0,2876.35
1679,0.36152471709350803,1557.0,2876.35
1658,0.3896260554885404,1557.0,2876.35
1660,0.35903614457831323,1557.0,2876.35
1691,0.3518628030751035,1557.0,2876.35
1690,0.3437869822485207,1557.0,2876.35
1681,0.3450327186198691,1557.0,2876.35
1661,0.3612281757977122,1557.0,2876.35
1662,0.35499398315282793,1557.0,2876.35
1657,0.3458056729028364,1557.0,2876.35
1661,0.3534015653220951,1557.0,2876.35
1658,0.35705669481302776,1557.0,2876.35
1663,0.35538184004810586,1557.0,2876.35
1659,0.3508137432188065,1557.0,2876.35
1659,0.34900542495479203,1557.0,2876.35
1657,0.3566686783343392,1557.0,2876.35
1655,0.3474320241691843,1557.0,2876.35
1659,0.34960819770946355,1557.0,2876.35
1653,0.3514821536600121,1557.0,2876.35
1660,0.3578313253012048,1557.0,2876.35
1657,0.36994568497284247,1557.0,2876.35
1658,0.3486127864897467,1557.0,2876.35
1655,0.3558912386706949,1557.0,2876.35
1658,0.3588661037394451,1557.0,2876.35
1652,0.37167070217917675,1557.0,2876.35
1669,0.36309167165967643,1557.0,2876.35
1652,0.38196125907990314,1557.0,2876.35
1653,0.3623714458560194,1557.0,2876.35
1654,0.36638452237001207,1557.0,2876.35
1652,0.37469733656174337,1554.0,2870.81
1649,0.41297756215888415,1554.0,2870.81
1646,0.42345078979343864,1554.0,2870.81
1652,0.43341404358353514,1554.0,2870.81
1657,0.4055522027761014,1554.0,2870.81
1661,0.3534015653220951,1554.0,2870.81
1652,0.3601694915254237,1554.0,2870.81
1656,0.3834541062801932,1554.0,2870.81
1665,0.36576576576576575,1554.0,2870.81
1653,0.39806412583182094,1554.0,2870.81
1654,0.3645707376058041,1554.0,2870.81
1671,0.35727109515260325,1560.0,2881.89
