ID,Gene_ID
Ardenna_carneipes,67271237
Ardenna_pacifica,67271275
Pelecanoides_urinatrix,62626542
Oceanodroma_castro,39412032
Oceanites_oceanicus,62624630
Aptenodytes_forsteri,26045181
Spheniscus_humboldti,34950539
Eudyptes_chrysolophus,63653184
Pygoscelis_papua,36935515
Phalacrocorax_auritus,62627037
Phalacrocorax_brasilianus,27111157
Phalacrocorax_carbo,24576579
Fregata_magnificens,62626085
Sula_dactylatra,71953279
Balaeniceps_rex,85190514
Eudocimus_ruber,25020083
Circaetus_pectoralis,62626390
Milvus_migrans,37540583
Haliaeetus_albicilla,39342847
Buteo_lagopus,26832832
Coragyps_atratus,72645139
Sarcoramphus_papa,72645223
Vultur_gryphus,68626099
Ninox_strenua,31079090
Asio_otus,38330861
Asio_flammeus,25077169
Bubo_bubo,37544094
Bubo_scandiacus,37541260
Strix_uralensis,37541222
Upupa_epops,26119629
Rhinopomastus_cyanomelas,62626047
Buceros_bicornis,37543066
Halcyon_smyrnensis,33905701
Dryobates_pubescens,26045344
Jynx_torquilla,65315871
Falco_naumanni,64854582
Falco_peregrinus,64984706
Herpetotheres_cachinnans,62626237
Nestor_notabilis,25813005
Calyptorhynchus_lathami,79561172
Zanda_latirostris,79565570
Eolophus_roseicapilla,38575546
Cacatua_moluccensis,79561147
Cacatua_pastinator,38572273
Ara_ararauna,26887756
Ara_macao,42266770
Amazona_aestiva,30857309
Myiopsitta_monachus,25768633
Forpus_passerinus,25768595
Psittrichas_fulgidus,25768745
Trichoglossus_euteles,84357472
Trichoglossus_haematodus,73909460
Eclectus_roratus,25768558
Psittacula_eupatria,40499032
Acanthisitta_chloris,59701861
Tyrannus_savana,59443632
Gerygone_igata,26831132
Dicrurus_macrocercus,65342874
Aphelocoma_coerulescens,60235404
Corvus_corax,32947570
Corvus_frugilegus,10251037
Pica_hudsonia,79506229
Eopsaltria_georgiana,24571919
Picathartes_gymnocephalus,63024660
Poecile_palustris,24147125
Parus_major,39089571
Parus_monticolus,26120055
Alauda_arvensis,79573362
Eremophila_alpestris,55288162
Delichon_urbicum,58903337
Hirundo_atrocaerulea,58901214
Hirundo_neoxena,58901907
Hirundo_rustica,58903170
Hirundo_tahitica,55290530
Riparia_riparia,70897579
Zosterops_lateralis,26831363
Trochalopteron_elliotii,32282037
Phylloscopus_trochilus,70635169
Phylloscopus_collybita,70635207
Oenanthe_oenanthe,59443898
Catharus_fuscescens,59443328
Turdus_merula,26120093
Turdus_philomelos,26831401
Turdus_rufiventris,26119654
Buphagus_erythrorhynchus,63024622
Sturnus_vulgaris,26971388
Regulus_regulus,27213663
Tichodroma_muraria,63024774
Campylorhynchus_brunneicapillus,26898237
Thryothorus_ludovicianus,59449832
Sitta_europaea,63023938
Lonchura_oryzivora,26219860
Motacilla_alba,26834653
Motacilla_flava,70601830
Acanthis_flammea,24573552
Serinus_canaria,37275767
Calcarius_ornatus,63024850
Piranga_olivacea,39722605
Piranga_rubra,39722453
Spizella_passerina,63024888
Zonotrichia_albicollis,63139745
Setophaga_kirtlandii,59443708
Molothrus_ater,60253654
Quiscalus_mexicanus,59443556
Ornithorhynchus_anatinus,64984757
Monodelphis_domestica,64986711
Antechinus_flavipes,65342067
Macropus_fuliginosus,38328839
Macropus_giganteus,24707312
Myrmecophaga_tridactyla,26377880
Tamandua_mexicana,26377955
Chaetophractus_villosus,26377499
Tolypeutes_matacus,26377993
Dasypus_septemcinctus,26377765
Orycteropus_afer,64985382
Elephantulus_rufescens,80029249
Echinops_telfairi,64985658
Hydrodamalis_gigas,38573455
Blarina_brevicauda,40487451
Sorex_araneus,26045230
Condylura_cristata,27111332
Talpa_occidentalis,38289006
